strategy,prob_min,prob_max,gap_min,n_races,n_tickets,hit_rate,roi
top2_fix_nagashi,0.3,0.6,0.2,3406,10218,49.7,73.2
axis_nagashi,0.4,0.5,0.0,2861,8583,53.4,73.2
top2_fix_nagashi,0.4,0.5,0.1,2606,7818,52.1,73.1
p3_box,0.5,0.6,0.3,1330,1330,21.7,73.1
top2_fix_nagashi,0.4,0.6,0.2,3380,10140,49.9,73.1
honmei_1pt,0.4,0.5,0.2,1498,1498,22.4,72.9
honmei_1pt,0.4,0.5,0.1,2606,2606,24.4,72.8
honmei_1pt,0.3,0.5,0.1,3168,3168,23.7,72.6
top2_fix_nagashi,0.3,0.5,0.2,1524,4572,48.4,72.3
top2_fix_nagashi,0.4,0.5,0.2,1498,4494,48.7,72.2
top2_fix_nagashi,0.4,0.6,0.3,1533,4599,47.1,72.1
top2_fix_nagashi,0.3,0.6,0.3,1533,4599,47.1,72.1
honmei_1pt,0.3,0.4,0.1,562,562,20.3,71.4
axis_nagashi,0.3,0.4,0.1,562,1686,45.9,71.3
weak1_box,0.4,0.6,0.0,127,508,30.7,71.2
honmei_hazushi,0.3,0.4,0.1,562,2248,14.9,71.2
weak1_box,0.4,0.7,0.0,133,532,30.1,69.0
p3_box,0.3,0.4,0.0,1335,1335,22.0,68.8
weak1_box,0.4,0.7,0.1,101,404,31.7,68.1
weak1_box,0.3,0.5,0.0,1424,5696,19.9,65.8
weak1_box,0.3,0.6,0.0,1461,5844,20.1,65.7
weak1_box,0.3,0.7,0.0,1467,5868,20.0,65.5
weak1_box,0.3,0.4,0.0,1334,5336,19.0,65.2
honmei_hazushi,0.3,0.4,0.0,1335,5340,16.4,64.4
honmei_hazushi,0.3,0.5,0.1,3168,12672,10.4,64.2
honmei_hazushi,0.3,0.5,0.2,1524,6096,9.3,63.9
p3_box,0.3,0.4,0.1,562,562,19.9,63.5
honmei_hazushi,0.4,0.5,0.1,2606,10424,9.4,62.7
honmei_hazushi,0.4,0.5,0.2,1498,5992,9.1,62.6
honmei_hazushi,0.3,0.5,0.0,4196,16784,11.8,62.0
top2_fix_nagashi,0.3,0.5,0.3,203,609,38.9,61.2
top2_fix_nagashi,0.4,0.5,0.3,203,609,38.9,61.2
honmei_hazushi,0.4,0.5,0.0,2861,11444,9.6,60.8
honmei_hazushi,0.3,0.6,0.1,5140,20560,8.3,55.7
honmei_hazushi,0.3,0.6,0.0,6173,24692,9.6,55.5
honmei_hazushi,0.3,0.7,0.1,5793,23172,7.9,55.5
honmei_hazushi,0.3,0.7,0.0,6826,27304,9.1,55.4
honmei_hazushi,0.6,0.7,0.3,652,2608,4.6,54.2
honmei_1pt,0.3,0.5,0.3,203,203,15.3,54.1
honmei_1pt,0.4,0.5,0.3,203,203,15.3,54.1
honmei_hazushi,0.6,0.7,0.1,653,2612,4.6,54.1
honmei_hazushi,0.6,0.7,0.2,653,2612,4.6,54.1
honmei_hazushi,0.6,0.7,0.0,653,2612,4.6,54.1
honmei_hazushi,0.4,0.7,0.1,5231,20924,7.1,53.8
honmei_hazushi,0.4,0.6,0.1,4578,18312,7.5,53.7
honmei_hazushi,0.4,0.7,0.0,5491,21964,7.3,53.2
honmei_hazushi,0.4,0.6,0.0,4838,19352,7.7,53.1
honmei_hazushi,0.3,0.7,0.2,4059,16236,6.5,52.4
honmei_hazushi,0.3,0.6,0.2,3406,13624,6.9,52.1
honmei_hazushi,0.4,0.7,0.2,4033,16132,6.4,51.9
honmei_hazushi,0.4,0.6,0.2,3380,13520,6.8,51.4
honmei_hazushi,0.3,0.7,0.3,2185,8740,5.0,45.7
honmei_hazushi,0.4,0.7,0.3,2185,8740,5.0,45.7
honmei_hazushi,0.5,0.7,0.2,2535,10140,4.9,45.6
honmei_hazushi,0.5,0.7,0.1,2625,10500,4.8,45.0
honmei_hazushi,0.5,0.7,0.0,2630,10520,4.8,44.9
honmei_hazushi,0.5,0.6,0.2,1882,7528,4.9,42.6
honmei_hazushi,0.5,0.7,0.3,1982,7928,4.3,42.4
honmei_hazushi,0.3,0.6,0.3,1533,6132,5.2,42.1
honmei_hazushi,0.4,0.6,0.3,1533,6132,5.2,42.1
honmei_hazushi,0.5,0.6,0.1,1972,7888,4.9,42.0
honmei_hazushi,0.5,0.6,0.0,1977,7908,4.9,41.9
honmei_hazushi,0.5,0.6,0.3,1330,5320,4.2,36.6
