race_date,stadium_id,race_number,top_prob,prob_gap,has_exhibition,boats_json,actual_trio,payout_trio
2025-08-16,21,2,0.8145054933258268,0.7115316388441209,1,"{""bn"": [2, 3, 4, 5, 6, 1], ""p1"": [0.0494, 0.0226, 0.103, 0.0085, 0.0021, 0.8145], ""p3"": [0.589, 0.4242, 0.9375, 0.2181, 0.0973, 0.9874], ""p1L"": [0.028, 0.0252, 0.1853, 0.0055, 0.0009, 0.7552], ""p3L"": [0.3869, 0.4464, 0.9692, 0.2097, 0.0831, 0.9835]}","[1, 4, 5]",1390.0
2025-08-16,21,3,0.5886389777846917,0.25935706681337867,1,"{""bn"": [6, 4, 3, 2, 1, 5], ""p1"": [0.0044, 0.0359, 0.0414, 0.0004, 0.5886, 0.3293], ""p3"": [0.5099, 0.574, 0.5153, 0.0105, 0.9965, 0.6893], ""p1L"": [0.0041, 0.0426, 0.0034, 0.0005, 0.5888, 0.3607], ""p3L"": [0.3735, 0.6067, 0.2518, 0.0083, 0.9963, 0.8104]}","[1, 3, 5]",200.0
2025-08-16,21,4,0.6499152943495854,0.42539033702920614,1,"{""bn"": [6, 5, 4, 3, 2, 1], ""p1"": [0.0005, 0.0088, 0.2245, 0.1085, 0.0078, 0.6499], ""p3"": [0.0252, 0.2396, 0.8666, 0.4537, 0.3036, 0.9671], ""p1L"": [0.0001, 0.0069, 0.2338, 0.2282, 0.004, 0.527], ""p3L"": [0.0255, 0.3287, 0.7675, 0.5146, 0.1254, 0.9446]}","[1, 4, 5]",810.0
2025-08-16,21,5,0.7389580872836868,0.6082312734215721,1,"{""bn"": [6, 5, 4, 3, 2, 1], ""p1"": [0.0072, 0.1307, 0.0057, 0.0605, 0.0569, 0.739], ""p3"": [0.2015, 0.453, 0.424, 0.5262, 0.7855, 0.9955], ""p1L"": [0.0036, 0.0822, 0.0052, 0.0843, 0.0029, 0.8218], ""p3L"": [0.1644, 0.5034, 0.2164, 0.5128, 0.1637, 0.9939]}","[1, 3, 5]",770.0
2025-08-16,21,6,0.7356839147009331,0.5668468609131514,1,"{""bn"": [1, 2, 3, 5, 4, 6], ""p1"": [0.7357, 0.1688, 0.004, 0.0564, 0.0303, 0.0049], ""p3"": [0.9406, 0.9635, 0.2856, 0.1552, 0.5525, 0.0943], ""p1L"": [0.6605, 0.2862, 0.0037, 0.0046, 0.0442, 0.0007], ""p3L"": [0.9747, 0.9702, 0.2162, 0.0866, 0.664, 0.0661]}","[1, 2, 4]",190.0
2025-08-16,21,7,0.6952312099856495,0.5231008978576489,1,"{""bn"": [5, 2, 3, 4, 6, 1], ""p1"": [0.1105, 0.016, 0.1721, 0.0002, 0.006, 0.6952], ""p3"": [0.42, 0.4422, 0.4548, 0.0349, 0.1542, 0.9921], ""p1L"": [0.2645, 0.0082, 0.0964, 0.0004, 0.0169, 0.6136], ""p3L"": [0.2516, 0.4845, 0.4141, 0.0336, 0.3601, 0.9659]}","[1, 2, 3]",440.0
2025-08-16,21,8,0.7038479846240506,0.5249846205068439,1,"{""bn"": [1, 2, 4, 5, 6, 3], ""p1"": [0.1789, 0.7038, 0.0066, 0.0166, 0.0469, 0.0472], ""p3"": [0.9468, 0.9759, 0.1839, 0.3534, 0.311, 0.5732], ""p1L"": [0.2132, 0.6596, 0.0115, 0.0284, 0.0531, 0.0342], ""p3L"": [0.9325, 0.9713, 0.1466, 0.2945, 0.311, 0.629]}","[1, 2, 3]",430.0
2025-08-16,21,9,0.6408368253849226,0.5031075969012472,1,"{""bn"": [6, 5, 4, 3, 1, 2], ""p1"": [0.0598, 0.0923, 0.0042, 0.0651, 0.6408, 0.1377], ""p3"": [0.1194, 0.4544, 0.4186, 0.4646, 0.7572, 0.5901], ""p1L"": [0.0644, 0.0733, 0.0093, 0.1244, 0.5243, 0.2044], ""p3L"": [0.2436, 0.4085, 0.3281, 0.416, 0.8871, 0.4409]}","[1, 2, 5]",680.0
2025-08-16,21,10,0.5326665618277254,0.14788054015743196,1,"{""bn"": [1, 2, 3, 5, 6, 4], ""p1"": [0.5327, 0.0183, 0.3848, 0.0293, 0.0034, 0.0315], ""p3"": [0.9593, 0.5348, 0.9113, 0.4348, 0.1631, 0.3511], ""p1L"": [0.5319, 0.0138, 0.4059, 0.0206, 0.0039, 0.0238], ""p3L"": [0.9569, 0.3384, 0.8693, 0.459, 0.2226, 0.3332]}","[1, 2, 3]",430.0
2025-08-16,21,11,0.7435898538547914,0.6532110862611684,1,"{""bn"": [1, 3, 4, 5, 6, 2], ""p1"": [0.7436, 0.0407, 0.0209, 0.0704, 0.0904, 0.0341], ""p3"": [0.894, 0.4183, 0.3417, 0.454, 0.3527, 0.4693], ""p1L"": [0.8275, 0.018, 0.0125, 0.0449, 0.0759, 0.0213], ""p3L"": [0.9524, 0.5301, 0.3763, 0.4657, 0.1773, 0.5126]}","[1, 3, 4]",1300.0
2025-08-16,21,12,0.6578171598303897,0.5290079875945746,1,"{""bn"": [6, 5, 4, 2, 3, 1], ""p1"": [0.0061, 0.0195, 0.0592, 0.1288, 0.1286, 0.6578], ""p3"": [0.1083, 0.2549, 0.6404, 0.7519, 0.6172, 0.9325], ""p1L"": [0.0025, 0.0157, 0.0451, 0.1729, 0.0894, 0.6745], ""p3L"": [0.0917, 0.2059, 0.6944, 0.7267, 0.6878, 0.9497]}","[1, 2, 3]",270.0
2025-08-16,24,1,0.5133886614201558,0.125465455834196,0,"{""bn"": [1, 2, 3, 4, 5, 6], ""p1"": [0.3879, 0.5134, 0.0696, 0.0092, 0.0148, 0.0051], ""p3"": [0.862, 0.7725, 0.5274, 0.2845, 0.1569, 0.0359], ""p1L"": [0.4614, 0.4716, 0.0349, 0.0113, 0.0189, 0.0019], ""p3L"": [0.8066, 0.822, 0.7163, 0.3964, 0.2078, 0.0322]}","[2, 3, 4]",680.0
2025-08-16,24,2,0.3483212699555259,0.01106862209915399,0,"{""bn"": [3, 1, 2, 4, 5, 6], ""p1"": [0.3483, 0.3373, 0.0267, 0.1564, 0.1174, 0.0138], ""p3"": [0.8488, 0.9623, 0.2572, 0.6779, 0.5818, 0.2762], ""p1L"": [0.3038, 0.3355, 0.0147, 0.1398, 0.194, 0.0122], ""p3L"": [0.8441, 0.8527, 0.1696, 0.6073, 0.4572, 0.1214]}","[3, 5, 6]",2180.0
2025-08-16,24,3,0.4761516029436143,0.012324995070017053,0,"{""bn"": [6, 5, 3, 1, 2, 4], ""p1"": [0.0302, 0.0163, 0.4638, 0.4762, 0.0086, 0.0049], ""p3"": [0.399, 0.1412, 0.9112, 0.9102, 0.3376, 0.1437], ""p1L"": [0.0204, 0.0172, 0.4479, 0.5065, 0.0025, 0.0056], ""p3L"": [0.2042, 0.0967, 0.8988, 0.8971, 0.219, 0.1716]}","[1, 5, 6]",680.0
2025-08-16,24,4,0.44162810673501957,0.10263796093043615,0,"{""bn"": [4, 1, 2, 3, 5, 6], ""p1"": [0.1306, 0.4416, 0.0565, 0.339, 0.0225, 0.0099], ""p3"": [0.6679, 0.4631, 0.2799, 0.8295, 0.3491, 0.4272], ""p1L"": [0.0926, 0.5286, 0.0406, 0.2898, 0.0096, 0.0389], ""p3L"": [0.4839, 0.5318, 0.2243, 0.7072, 0.434, 0.4254]}","[1, 2, 4]",3090.0
2025-08-16,24,5,0.35562166842372367,0.06449461785310329,0,"{""bn"": [6, 1, 2, 3, 4, 5], ""p1"": [0.2911, 0.3556, 0.2543, 0.0057, 0.0065, 0.0868], ""p3"": [0.7012, 0.5934, 0.7461, 0.1594, 0.1737, 0.5683], ""p1L"": [0.246, 0.4171, 0.261, 0.0194, 0.0152, 0.0414], ""p3L"": [0.7604, 0.7403, 0.8233, 0.1723, 0.2122, 0.6077]}","[1, 2, 6]",320.0
2025-08-16,24,6,0.8630433816122106,0.7923853419119862,0,"{""bn"": [1, 2, 4, 5, 6, 3], ""p1"": [0.863, 0.0011, 0.0347, 0.0032, 0.0273, 0.0707], ""p3"": [0.9452, 0.008, 0.8481, 0.0621, 0.2079, 0.4833], ""p1L"": [0.8238, 0.0033, 0.0895, 0.0077, 0.0342, 0.0415], ""p3L"": [0.9654, 0.0169, 0.7801, 0.1049, 0.2995, 0.4114]}","[1, 4, 5]",1260.0
2025-08-16,24,7,0.6081226171081613,0.4167641495627978,0,"{""bn"": [4, 1, 2, 3, 5, 6], ""p1"": [0.1914, 0.6081, 0.0693, 0.08, 0.0482, 0.003], ""p3"": [0.3399, 0.97, 0.6085, 0.3477, 0.2144, 0.267], ""p1L"": [0.2686, 0.5555, 0.0423, 0.073, 0.056, 0.0045], ""p3L"": [0.3796, 0.9245, 0.7309, 0.3342, 0.1979, 0.2156]}","[1, 4, 5]",870.0
2025-08-16,24,8,0.6249096523020287,0.3191923902818441,0,"{""bn"": [2, 3, 4, 5, 6, 1], ""p1"": [0.0115, 0.3057, 0.0047, 0.048, 0.0051, 0.6249], ""p3"": [0.3119, 0.9199, 0.1903, 0.1579, 0.1012, 0.9685], ""p1L"": [0.0141, 0.2778, 0.0043, 0.0418, 0.004, 0.6581], ""p3L"": [0.3514, 0.8765, 0.2006, 0.2518, 0.1066, 0.9697]}","[1, 3, 5]",340.0
2025-08-16,24,9,0.9144648054346386,0.8855016553365636,0,"{""bn"": [6, 5, 4, 3, 2, 1], ""p1"": [0.029, 0.0097, 0.0234, 0.0091, 0.0144, 0.9145], ""p3"": [0.3846, 0.174, 0.3214, 0.1872, 0.4399, 0.9689], ""p1L"": [0.0121, 0.0074, 0.0237, 0.0134, 0.0105, 0.933], ""p3L"": [0.5145, 0.2754, 0.3863, 0.1744, 0.4368, 0.9658]}","[1, 2, 4]",270.0
2025-08-16,24,10,0.8381936047473291,0.7580782291783721,0,"{""bn"": [6, 5, 4, 3, 2, 1], ""p1"": [0.0087, 0.0801, 0.0029, 0.0296, 0.0405, 0.8382], ""p3"": [0.4759, 0.4961, 0.2779, 0.3191, 0.4269, 0.7496], ""p1L"": [0.0104, 0.064, 0.0035, 0.026, 0.0774, 0.8186], ""p3L"": [0.4819, 0.3581, 0.2957, 0.3347, 0.4431, 0.8687]}","[1, 2, 5]",550.0
2025-08-16,24,11,0.47504958641107997,0.07076018946093765,0,"{""bn"": [6, 5, 4, 3, 2, 1], ""p1"": [0.0053, 0.02, 0.005, 0.475, 0.0904, 0.4043], ""p3"": [0.2192, 0.4065, 0.2397, 0.5637, 0.6468, 0.8947], ""p1L"": [0.0085, 0.025, 0.0074, 0.3023, 0.0994, 0.5573], ""p3L"": [0.1148, 0.5571, 0.1462, 0.7163, 0.6031, 0.8809]}","[1, 2, 3]",380.0
